Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
JCB,2001-10-16 18:00,0.0,12.1,35,45,270,90,43,259,43.9,60,63.9
